"Cluster","Cluster Enrichment Score","Category","Term","Count","List Total","Pop Hits","Pop Total","%","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids"
"1","2.79","GOTERM_CC_DIRECT","microtubule cytoskeleton","8","53","271","20117","15.09","5.94e-6","9.04e-5","11.20","1.26e-3","7.55e-5","5.13e-7","CCNB2,PLK1,BIRC5,AKT1,KIF2C,NEK2,GAPDH,AURKA"
"1","2.79","GOTERM_CC_DIRECT","midbody","5","53","196","20117","9.43","1.64e-3","1.46e-2","9.68","2.95e-1","1.22e-2","1.64e-4","PLK1,BIRC5,NEK2,KIF20A,AURKA"
"1","2.79","GOTERM_CC_DIRECT","spindle midzone","3","53","27","20117","5.66","2.21e-3","1.88e-2","42.17","3.75e-1","1.57e-2","4.83e-5","PLK1,BIRC5,AURKA"
"1","2.79","GOTERM_CC_DIRECT","spindle microtubule","3","53","43","20117","5.66","5.53e-3","3.80e-2","26.48","6.93e-1","3.18e-2","1.98e-4","PLK1,BIRC5,AURKA"
"1","2.79","GOTERM_CC_DIRECT","centriole","4","53","170","20117","7.55","9.68e-3","6.44e-2","8.93","8.74e-1","5.38e-2","1.04e-3","TOP2A,PLK1,BIRC5,AURKA"
"1","2.79","GOTERM_CC_DIRECT","microtubule","5","53","370","20117","9.43","1.52e-2","8.21e-2","5.13","9.62e-1","6.86e-2","2.85e-3","BIRC5,KIF2C,NEK2,KIF20A,AURKA"

