"Category","Term","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids"
"UP_KW_PTM","Ubl conjugation","37","52","2792","14167","4.59e-15","6.88e-14","3.61","6.83e-14","5.51e-14","1.25e-15","TOP2A,PCNA,PTEN,BRCA1,MKI67,TYMS,BRCA2,CENPA,EGFR,ACTB,AURKA,CDC20,CCNB1,PTTG1,CCND1,CDH1,MYC,CHEK1,PBK,E2F1,AKT1,TK1,BUB1,RRM2,UBE2C,PLK1,KRT8,ESR1,KRT18,BIRC5,PGR,KIF2C,GAPDH,TP53,DTL,MCM2,EZH2"
"UP_KW_PTM","Phosphoprotein","51","52","8420","14167","1.01e-10","7.60e-10","1.65","1.52e-9","6.08e-10","6.12e-11","RB1,FOXA1,TOP2A,FEN1,PTEN,BRCA1,BRCA2,MKI67,CDC20,PTTG1,CCND1,CDH1,MYC,CHEK1,PBK,AKT1,NEK2,TK1,KRT8,MELK,BIRC5,PGR,KIF2C,KIF20A,GAPDH,DTL,TP53,MCM2,PCNA,NCAPG,TTK,GATA3,TYMS,TOB2,CENPA,EGFR,AURKA,CCNB2,MUC1,CCNB1,ERBB2,E2F1,BUB1,RRM2,UBE2C,PLK1,ESR1,KRT18,CDK4,EZH2,MAD2L1"
"UP_KW_PTM","Isopeptide bond","23","52","1903","14167","1.82e-7","9.09e-7","3.29","2.73e-6","7.27e-7","5.43e-8","TOP2A,PCNA,PLK1,PTEN,KRT8,BRCA1,MKI67,TYMS,EGFR,ACTB,AURKA,CDC20,KRT18,CCND1,MYC,CHEK1,PBK,AKT1,PGR,GAPDH,TP53,EZH2,MCM2"
"UP_KW_PTM","Acetylation","30","52","3521","14167","1.06e-6","3.98e-6","2.32","1.59e-5","3.18e-6","4.51e-7","RB1,TOP2A,FEN1,PCNA,PTEN,TTK,BRCA1,MKI67,ACTB,CDC20,CCNB1,PTTG1,MYC,PBK,E2F1,AKT1,TK1,UBE2C,PLK1,KRT8,KRT18,CDK4,BIRC5,KIF2C,KIF20A,GAPDH,TP53,DTL,MCM2,MAD2L1"
"UP_KW_PTM","Methylation","12","52","1061","14167","1.16e-3","3.49e-3","3.08","1.73e-2","2.79e-3","3.65e-4","RB1,FEN1,KRT18,PCNA,KRT8,E2F1,CENPA,ESR1,GAPDH,TP53,EGFR,ACTB"

