"Main Category","Category","Terms"
"General Annotations","UP_COMMENT_INTERACTION","P60709; P60709: ACTB; NbExp=16; IntAct=EBI-353944, EBI-353944; P60709; P63261: ACTG1; NbExp=16; IntAct=EBI-353944, EBI-351292; P60709; P05067: APP; NbExp=8; IntAct=EBI-353944, EBI-77613; P60709; Q9UQB8: BAIAP2; NbExp=2; IntAct=EBI-353944, EBI-525456; P60709; P40123: CAP2; NbExp=9; IntAct=EBI-353944, EBI-1051165; P60709; Q16543: CDC37; NbExp=3; IntAct=EBI-353944, EBI-295634; P60709; P23528: CFL1; NbExp=11; IntAct=EBI-353944, EBI-352733; P60709; Q549N0: CFL2; NbExp=3; IntAct=EBI-353944, EBI-10201319; P60709; Q9Y281: CFL2; NbExp=11; IntAct=EBI-353944, EBI-351218; P60709; P13569: CFTR; NbExp=6; IntAct=EBI-353944, EBI-349854; P60709; P60981: DSTN; NbExp=10; IntAct=EBI-353944, EBI-745191; P60709; Q8WTR2: DUSP19; NbExp=4; IntAct=EBI-353944, EBI-8654968; P60709; Q08426: EHHADH; NbExp=4; IntAct=EBI-353944, EBI-2339219; P60709; P50402: EMD; NbExp=2; IntAct=EBI-353944, EBI-489887; P60709; P04626: ERBB2; NbExp=10; IntAct=EBI-353944, EBI-641062; P60709; Q8TCJ0-2: FBXO25; NbExp=3; IntAct=EBI-353944, EBI-6264551; P60709; P11142: HSPA8; NbExp=2; IntAct=EBI-353944, EBI-351896; P60709; P83110: HTRA3; NbExp=5; IntAct=EBI-353944, EBI-2867394; P60709; P42858: HTT; NbExp=3; IntAct=EBI-353944, EBI-466029; P60709; O14950: MYL12B; NbExp=3; IntAct=EBI-353944, EBI-1642165; P60709; P14598: NCF1; NbExp=3; IntAct=EBI-353944, EBI-395044; P60709; P29474: NOS3; NbExp=3; IntAct=EBI-353944, EBI-1391623; P60709; Q92636: NSMAF; NbExp=2; IntAct=EBI-353944, EBI-2947053; P60709; Q96HA8: NTAQ1; NbExp=6; IntAct=EBI-353944, EBI-741158; P60709; P07737: PFN1; NbExp=3; IntAct=EBI-353944, EBI-713780; P60709; P78317: RNF4; NbExp=3; IntAct=EBI-353944, EBI-2340927; P60709; P37802: TAGLN2; NbExp=3; IntAct=EBI-353944, EBI-1056740; P60709; Q9BSI4: TINF2; NbExp=2; IntAct=EBI-353944, EBI-717399; P60709; P13693: TPT1; NbExp=4; IntAct=EBI-353944, EBI-1783169; P60709; Q7KZS0: UBE2I; NbExp=3; IntAct=EBI-353944, EBI-10180829; P60709; Q9UBQ0-2: VPS29; NbExp=3; IntAct=EBI-353944, EBI-11141397; P60709; O75083: WDR1; NbExp=2; IntAct=EBI-353944, EBI-351917; P60709; P63104: YWHAZ; NbExp=3; IntAct=EBI-353944, EBI-347088; P60709; P08413: Camk2b; Xeno; NbExp=4; IntAct=EBI-353944, EBI-916155; P60709; Q8K4J6: Mrtfa; Xeno; NbExp=3; IntAct=EBI-353944, EBI-8291665;"
"General Annotations","UP_COMMENT_INTERACTION","Q1KLZ0; P63261: ACTG1; NbExp=3; IntAct=EBI-9978131, EBI-351292; Q1KLZ0; P40123: CAP2; NbExp=3; IntAct=EBI-9978131, EBI-1051165; Q1KLZ0; P23528: CFL1; NbExp=3; IntAct=EBI-9978131, EBI-352733; Q1KLZ0; Q549N0: CFL2; NbExp=3; IntAct=EBI-9978131, EBI-10201319; Q1KLZ0; P60981: DSTN; NbExp=3; IntAct=EBI-9978131, EBI-745191; Q1KLZ0; Q08426: EHHADH; NbExp=3; IntAct=EBI-9978131, EBI-2339219; Q1KLZ0; Q96HA8: NTAQ1; NbExp=3; IntAct=EBI-9978131, EBI-741158;"
"General Annotations","UP_COMMENT_MISCELLANEOUS","In vertebrates 3 main groups of actin isoforms, alpha, beta and gamma have been identified. The alpha actins are found in muscle tissues and are a major constituent of the contractile apparatus. The beta and gamma actins coexist in most cell types as components of the cytoskeleton and as mediators of internal cell motility. {ECO:0000305}."
"General Annotations","UP_COMMENT_PTM","(Microbial infection) Monomeric actin is cross-linked by V.cholerae toxins RtxA and VgrG1 in case of infection: bacterial toxins mediate the cross-link between Lys-50 of one monomer and Glu-270 of another actin monomer, resulting in formation of highly toxic actin oligomers that cause cell rounding (PubMed:19015515). The toxin can be highly efficient at very low concentrations by acting on formin homology family proteins: toxic actin oligomers bind with high affinity to formins and adversely affect both nucleation and elongation abilities of formins, causing their potent inhibition in both profilin- dependent and independent manners (PubMed:26228148). {ECO:0000305|PubMed:19015515, ECO:0000305|PubMed:26228148}."
"General Annotations","UP_COMMENT_PTM","ISGylated. {ECO:0000269|PubMed:16139798}."
"General Annotations","UP_COMMENT_PTM","Methylated at His-73 by SETD3 (PubMed:30526847, PubMed:30626964, PubMed:30785395, PubMed:31388018). Methylation at His-73 is required for smooth muscle contraction of the laboring uterus during delivery (By similarity). {ECO:0000250|UniProtKB:P60710, ECO:0000269|PubMed:30526847, ECO:0000269|PubMed:30626964, ECO:0000269|PubMed:30785395, ECO:0000269|PubMed:31388018}."
"General Annotations","UP_COMMENT_PTM","Monomethylation at Lys-84 (K84me1) regulates actin-myosin interaction and actomyosin-dependent processes (PubMed:23673617). Demethylation by ALKBH4 is required for maintaining actomyosin dynamics supporting normal cleavage furrow ingression during cytokinesis and cell migration (PubMed:23673617). {ECO:0000269|PubMed:23673617}."
"General Annotations","UP_COMMENT_PTM","Oxidation of Met-44 and Met-47 by MICALs (MICAL1, MICAL2 or MICAL3) to form methionine sulfoxide promotes actin filament depolymerization. MICAL1 and MICAL2 produce the (R)-S-oxide form. The (R)-S-oxide form is reverted by MSRB1 and MSRB2, which promote actin repolymerization. {ECO:0000269|PubMed:29343822}."
"General Annotations","UP_COMMENT_PTM","[Actin, cytoplasmic 1, N-terminally processed]: N-terminal acetylation by NAA80 affects actin filament depolymerization and elongation, including elongation driven by formins (PubMed:29581253). In contrast, filament nucleation by the Arp2/3 complex is not affected (PubMed:29581253). {ECO:0000269|PubMed:29581253}."
"General Annotations","UP_COMMENT_PTM","[Actin, cytoplasmic 1]: N-terminal cleavage of acetylated methionine of immature cytoplasmic actin by ACTMAP. {ECO:0000269|PubMed:36173861}."
