"Category","Term","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids"
"GAD_DISEASE_CLASS","CANCER","41","50","3161","12770","7.54e-17","1.36e-15","3.31","2.00e-15","7.54e-16","2.26e-17","FOXA1,RB1,TOP2A,FEN1,PCNA,PTEN,TTK,GATA3,BRCA1,MKI67,TYMS,BRCA2,EGFR,ACTB,AURKA,CDC20,CCNB2,MUC1,CCNB1,PTTG1,CCND1,CDH1,MYC,ERBB2,CHEK1,E2F1,AKT1,NEK2,BUB1,PLK1,ESR1,PIK3CA,CDK4,BIRC5,PGR,KIF2C,TP53,DTL,MCM2,EZH2,MAD2L1"
"GAD_DISEASE_CLASS","OTHER","24","50","1585","12770","2.86e-9","2.57e-8","3.87","5.14e-8","1.43e-8","7.26e-10","RB1,PCNA,PLK1,PTEN,KRT8,BRCA1,GATA3,MKI67,TYMS,BRCA2,ESR1,EGFR,AURKA,MUC1,KRT18,CCND1,CDH1,CDK4,MYC,ERBB2,CHEK1,AKT1,PGR,TP53"
"GAD_DISEASE_CLASS","RENAL","18","50","1407","12770","9.76e-6","5.86e-5","3.27","1.76e-4","3.25e-5","2.92e-6","PCNA,BRCA1,TYMS,BRCA2,ESR1,EGFR,CDC20,MUC1,CCND1,CDK4,MYC,ERBB2,CHEK1,PBK,BIRC5,NEK2,PGR,TP53"
"GAD_DISEASE_CLASS","UNKNOWN","17","50","1601","12770","1.99e-4","8.95e-4","2.71","3.57e-3","4.97e-4","7.15e-5","KRT8,BRCA1,GATA3,TYMS,BRCA2,ESR1,EGFR,AURKA,MUC1,KRT18,PIK3CA,CCND1,ERBB2,BIRC5,AKT1,PGR,TP53"
"GAD_DISEASE_CLASS","REPRODUCTION","11","50","946","12770","2.74e-3","9.86e-3","2.97","4.82e-2","5.48e-3","8.90e-4","RRM2,PIK3CA,PTEN,AKT1,PGR,BRCA1,TYMS,BRCA2,ESR1,TP53,EGFR"
"GAD_DISEASE_CLASS","PHARMACOGENOMIC","19","50","2708","12770","9.09e-3","2.73e-2","1.79","1.52e-1","1.52e-2","4.90e-3","TOP2A,PCNA,UBE2C,PTEN,BRCA1,MKI67,TYMS,BRCA2,ESR1,EGFR,PIK3CA,CCND1,CDK4,MYC,ERBB2,AKT1,PGR,TK1,TP53"
"GAD_DISEASE_CLASS","NORMALVARIATION","7","50","503","12770","1.21e-2","3.10e-2","3.55","1.96e-1","1.72e-2","3.24e-3","CCND1,BRCA1,TYMS,BRCA2,ESR1,TP53,EGFR"
"GAD_DISEASE_CLASS","NEUROLOGICAL","17","50","2847","12770","6.22e-2","1.40e-1","1.53","6.85e-1","7.77e-2","3.87e-2","FEN1,PTEN,KRT8,BRCA1,GATA3,MKI67,TYMS,BRCA2,ESR1,PIK3CA,PTTG1,MYC,AKT1,PGR,GAPDH,TP53,DTL"

