"Cluster","Cluster Enrichment Score","Category","Term","Count","List Total","Pop Hits","Pop Total","%","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids"
"1","13.51","UP_KW_BIOLOGICAL_PROCESS","Cell cycle","26","48","688","11343","49.06","9.67e-19","3.96e-17","8.93","3.96e-17","3.77e-17","1.05e-19","RB1,NCAPG,BRCA1,MKI67,BRCA2,CENPA,AURKA,CDC20,CCNB2,CCNB1,PTTG1,CCND1,CHEK1,E2F1,NEK2,BUB1,UBE2C,PLK1,KRT18,MELK,CDK4,BIRC5,KIF2C,TP53,MCM2,MAD2L1"
"1","13.51","UP_KW_BIOLOGICAL_PROCESS","Cell division","17","48","418","11343","32.08","4.59e-12","8.96e-11","9.61","1.88e-10","8.53e-11","4.59e-13","UBE2C,PLK1,NCAPG,CENPA,AURKA,CDC20,CCNB2,CCNB1,MELK,PTTG1,CCND1,CDK4,BIRC5,NEK2,KIF2C,BUB1,MAD2L1"
"1","13.51","UP_KW_BIOLOGICAL_PROCESS","Mitosis","15","48","292","11343","28.30","6.56e-12","8.96e-11","12.14","2.69e-10","8.53e-11","5.15e-13","UBE2C,PLK1,NCAPG,CENPA,AURKA,CDC20,CCNB2,CCNB1,MELK,PTTG1,BIRC5,NEK2,KIF2C,BUB1,MAD2L1"

