Geneid,SRR1313066,SRR1313067,SRR1313068,SRR1313078,SRR1313090,SRR1313091,SRR1313092,SRR1313094,SRR1313096,SRR1313099,SRR1313101,SRR1313111,SRR1313112,SRR1313113,SRR1313115,SRR1313118,SRR1313120,SRR1313123,SRR1313127,SRR1313128
SOWAHCP2,9,2,13,11,19,0,2,4,14,19,2,26,16,39,12,9,40,1,4,8
ENSG00000279381,4,0,4,1,6,0,1,2,6,1,1,3,3,3,4,0,2,0,0,4
ENSG00000278932,1,0,10,7,0,0,2,2,0,6,4,1,2,1,1,1,3,1,2,2
SNX18P12,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0
ENSG00000279208,1,0,4,5,0,2,0,0,3,15,15,0,0,2,1,4,0,0,1,6
NCOR1P4,0,1,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
ENSG00000279211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000286103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC01667,0,0,108,3,0,0,0,0,3,0,0,0,0,0,0,1,1,1,1,94
ENSG00000279783,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SL52P,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
ENSG00000279321,0,0,0,6,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0
ENSG00000270533,0,0,9,1,1,1,2,1,14,1,1,0,0,0,1,13,2,2,1,3
ENSG00000280372,0,0,0,4,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0
ENSG00000279851,0,0,0,0,0,0,0,0,8,0,0,0,0,0,4,2,0,0,3,1
CDRT15P8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277693,112,6,430,334,1,0,1,0,181,1,0,0,1,3,1,9,1,0,85,0
EIF3FP1,90,2,316,63,0,0,2,1,12,1,2,0,1,2,1,5,1,0,12,0
VN1R7P,0,0,0,3,0,0,0,2,5,0,0,0,0,0,2,0,0,1,4,0
ENSG00000278106,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000290523,0,52,14,13,1,0,0,1,4,0,0,0,0,0,1,3,0,0,2,0
BAGE2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000273840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TPTE,0,13,0,4,0,0,0,0,3,2,0,1,0,0,1,4,0,0,0,0
CYCSP41,0,9,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
SLC25A15P4,0,8,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
ENSG00000276556,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
IGHV1OR21-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000229306,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000290568,0,0,0,2,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0
ANKRD30BP2,0,0,0,1,0,0,2,0,12,1,0,0,0,0,0,0,2,0,0,1
RNU6-614P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZNF355P,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BNIP3P43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000280108,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
FGF7P2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ANKRD30BP1,0,1,49,6281,78,126,212,75,399,1364,134,51,20,77,1140,18,166,506,44,0
