Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR1313215,2014-06-12 16:16:14,2014-06-02 14:32:21,74714751,7471475100,74714751,100,4793,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/313/SRR1313215/SRR1313215.sralite.1,SRX559866,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042620,PRJNA251383,2,251383,SRS624409,SAMN02821012,simple,9606,Homo sapiens,GSM1401801,,,,,,,no,,,,,GEO,SRA168404,,public,8937CE89846F1E66F405F743186C9E4F,23002154DF079A6D50DC966487739266
SRR1313216,2014-06-12 16:16:14,2014-06-02 14:27:10,58904919,5890491900,58904919,100,3727,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/313/SRR1313216/SRR1313216.sralite.1,SRX559867,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042620,PRJNA251383,2,251383,SRS624411,SAMN02821021,simple,9606,Homo sapiens,GSM1401802,,,,,,,no,,,,,GEO,SRA168404,,public,04666BB16D340BA154DC07C1E342215B,E095A4F530A64D709BBD535F02D4EF87
SRR1313217,2014-06-12 16:16:14,2014-06-02 14:29:11,64275662,6427566200,64275662,100,4123,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/313/SRR1313217/SRR1313217.sralite.1,SRX559868,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042620,PRJNA251383,2,251383,SRS624412,SAMN02821002,simple,9606,Homo sapiens,GSM1401803,,,,,,,no,,,,,GEO,SRA168404,,public,D42CE2A708424AAD26F50DE58F9C3C56,59E1995C92868D9951B236C4DD47FFB5
SRR1313218,2014-06-12 16:16:14,2014-06-02 14:30:15,71474872,7147487200,71474872,100,4610,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/313/SRR1313218/SRR1313218.sralite.1,SRX559869,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042620,PRJNA251383,2,251383,SRS624415,SAMN02821024,simple,9606,Homo sapiens,GSM1401804,,,,,,,no,,,,,GEO,SRA168404,,public,F62037F33E7D371023AF28031CE3DE47,9FEEA7820973EBDD3EFDD70D5553CAD7
SRR1313219,2014-06-12 16:16:14,2014-06-02 14:33:28,68477549,6847754900,68477549,100,4480,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/313/SRR1313219/SRR1313219.sralite.1,SRX559870,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042620,PRJNA251383,2,251383,SRS624413,SAMN02821000,simple,9606,Homo sapiens,GSM1401805,,,,,,,no,,,,,GEO,SRA168404,,public,1D851305BACC4FE5148E6BE24CDBE2CC,08ED87045D95795CD38E6F46BD8F0686
SRR1313210,2014-06-12 16:16:14,2014-06-02 14:42:51,95033622,9503362200,95033622,100,6218,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/313/SRR1313210/SRR1313210.sralite.1,SRX559861,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042620,PRJNA251383,2,251383,SRS624404,SAMN02820999,simple,9606,Homo sapiens,GSM1401796,,,,,,,no,,,,,GEO,SRA168404,,public,92174B246AAFB12AAA16A60D41546486,EE89D6D19B9A08A4D6F8B7CCACDBFC6A
SRR1313211,2014-06-12 16:16:14,2014-06-02 14:23:51,57884825,5788482500,57884825,100,3782,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/313/SRR1313211/SRR1313211.sralite.1,SRX559862,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042620,PRJNA251383,2,251383,SRS624406,SAMN02821014,simple,9606,Homo sapiens,GSM1401797,,,,,,,no,,,,,GEO,SRA168404,,public,0293E0CC8CD18B8BB02149A0EEC16A5E,D966F93745271326669799B7708A9C43
SRR1313212,2014-06-12 16:16:14,2014-06-02 14:24:44,55842912,5584291200,55842912,100,3729,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/313/SRR1313212/SRR1313212.sralite.1,SRX559863,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042620,PRJNA251383,2,251383,SRS624407,SAMN02821062,simple,9606,Homo sapiens,GSM1401798,,,,,,,no,,,,,GEO,SRA168404,,public,48F46F0515D2B584B4FE5A4C45B058DB,9564FFE9FA9D8679C83F6E19D9C4E63B
SRR1313213,2014-06-12 16:16:14,2014-06-02 14:29:12,85647857,8564785700,85647857,100,5760,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/313/SRR1313213/SRR1313213.sralite.1,SRX559864,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042620,PRJNA251383,2,251383,SRS624410,SAMN02821059,simple,9606,Homo sapiens,GSM1401799,,,,,,,no,,,,,GEO,SRA168404,,public,038BB5B64D6A4AA39D85D475077C07AB,24D3130181066E9AC5005D50DFEB5EB4
SRR1313214,2014-06-12 16:16:14,2014-06-02 14:40:10,93523312,9352331200,93523312,100,6283,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/313/SRR1313214/SRR1313214.sralite.1,SRX559865,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042620,PRJNA251383,2,251383,SRS624408,SAMN02821050,simple,9606,Homo sapiens,GSM1401800,,,,,,,no,,,,,GEO,SRA168404,,public,04F61412B244F4D335FCD9587E8FA1C4,5D55851FC6A71D92DB4BFAFA8CBCF483
