"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-73864","RNA Polymerase I Transcription","16/177","111/11230",0.144144144144144,9.14541660304372,10.9133734018255,1.62938480716467e-11,2.37208113787228e-10,1.75901762536014e-10,"H3C8/H2BC7/H3C10/H2BC15/H2BC26/H2BC11/H4C5/H3C2/H2BC17/H3C6/H2BC6/H2BC10/H4C9/H2BC9/H2BC14/H3C1",16
"R-HSA-1912422","Pre-NOTCH Expression and Processing","16/177","112/11230",0.142857142857143,9.0637610976594,10.8530153727269,1.87518208269207e-11,2.66787269037554e-10,1.97836195805551e-10,"H3C8/H2BC7/H3C10/H2BC15/H2BC26/H2BC11/H4C5/H3C2/H2BC17/H3C6/H2BC6/H2BC10/H4C9/H2BC9/H2BC14/H3C1",16
"R-HSA-9818564","Epigenetic regulation of gene expression by MLL3 and MLL4 complexes","17/177","133/11230",0.12781954887218,8.10968098211631,10.4373496020231,2.66315540984992e-11,3.54709635439585e-10,2.63035058397271e-10,"H3C8/H2BC7/H3C10/H2BC15/H2BC26/H2BC11/H4C5/H3C2/NCOA3/H2BC17/H3C6/H2BC6/H2BC10/H4C9/H2BC9/H2BC14/H3C1",17
"R-HSA-9841922","MLL4 and MLL3 complexes regulate expression of PPARG target genes in adipogenesis and hepatic steatosis","17/177","133/11230",0.12781954887218,8.10968098211631,10.4373496020231,2.66315540984992e-11,3.54709635439585e-10,2.63035058397271e-10,"H3C8/H2BC7/H3C10/H2BC15/H2BC26/H2BC11/H4C5/H3C2/NCOA3/H2BC17/H3C6/H2BC6/H2BC10/H4C9/H2BC9/H2BC14/H3C1",17
"R-HSA-9851695","Epigenetic regulation of adipogenesis genes by MLL3 and MLL4 complexes","17/177","133/11230",0.12781954887218,8.10968098211631,10.4373496020231,2.66315540984992e-11,3.54709635439585e-10,2.63035058397271e-10,"H3C8/H2BC7/H3C10/H2BC15/H2BC26/H2BC11/H4C5/H3C2/NCOA3/H2BC17/H3C6/H2BC6/H2BC10/H4C9/H2BC9/H2BC14/H3C1",17
"R-HSA-8939236","RUNX1 regulates transcription of genes involved in differentiation of HSCs","16/177","115/11230",0.139130434782609,8.82731515598133,10.6763817977039,2.83341068652575e-11,3.69523977034399e-10,2.74020638762687e-10,"H3C8/H2BC7/H3C10/H2BC15/H2BC26/H2BC11/H4C5/H3C2/H2BC17/H3C6/H2BC6/H2BC10/H4C9/H2BC9/H2BC14/H3C1",16
"R-HSA-9821993","Replacement of protamines by nucleosomes in the male pronucleus","11/177","42/11230",0.261904761904762,16.6168953457089,12.8309911487063,3.05947235194396e-11,3.90863202513657e-10,2.89844749131533e-10,"H2BC7/H2BC15/H2BC26/H2BC11/H4C5/H2BC17/H2BC6/H2BC10/H4C9/H2BC9/H2BC14",11
"R-HSA-1500620","Meiosis","16/177","118/11230",0.135593220338983,8.60289188930384,10.5060821264398,4.22795412174344e-11,5.29339856042279e-10,3.92532161618707e-10,"H3C8/H2BC7/H3C10/H2BC15/H2BC26/H2BC11/H4C5/H3C2/H2BC17/H3C6/H2BC6/H2BC10/H4C9/H2BC9/H2BC14/H3C1",16
"R-HSA-9018519","Estrogen-dependent gene expression","17/177","149/11230",0.114093959731544,7.23884275584879,9.70118497880128,1.66395598438418e-10,2.04242440436176e-09,1.51456055544566e-09,"H3C8/H2BC7/H3C10/H2BC15/H2BC26/H2BC11/H4C5/H3C2/NCOA3/H2BC17/H3C6/H2BC6/H2BC10/H4C9/H2BC9/H2BC14/H3C1",17
"R-HSA-68867","Assembly of the pre-replicative complex","16/177","132/11230",0.121212121212121,7.6904639616504,9.78448406202652,2.36222186401582e-10,2.84375170552674e-09,2.10878510532587e-09,"H3C8/H2BC7/H3C10/H2BC15/H2BC26/H2BC11/H4C5/H3C2/H2BC17/H3C6/H2BC6/H2BC10/H4C9/H2BC9/H2BC14/H3C1",16
"R-HSA-171306","Packaging Of Telomere Ends","11/177","51/11230",0.215686274509804,13.6845020494073,11.4887855251417,3.01055136626618e-10,3.55585878355213e-09,2.6368483664814e-09,"H2BC7/H2BC15/H2BC26/H2BC11/H4C5/H2BC17/H2BC6/H2BC10/H4C9/H2BC9/H2BC14",11
"R-HSA-68875","Mitotic Prophase","16/177","140/11230",0.114285714285714,7.25100887812752,9.41814667189999,5.74349026984705e-10,6.65819427578565e-09,4.93738637232465e-09,"H3C8/H2BC7/H3C10/H2BC15/H2BC26/H2BC11/H4C5/H3C2/H2BC17/H3C6/H2BC6/H2BC10/H4C9/H2BC9/H2BC14/H3C1",16
"R-HSA-9842860","Regulation of endogenous retroelements","16/177","142/11230",0.112676056338028,7.14888199252009,9.33105632404671,7.10459198416898e-10,7.72980805413292e-09,5.7320419570752e-09,"H3C8/H2BC7/H3C10/H2BC15/H2BC26/H2BC11/H4C5/H3C2/H2BC17/H3C6/H2BC6/H2BC10/H4C9/H2BC9/H2BC14/H3C1",16
"R-HSA-110330","Recognition and association of DNA glycosylase with site containing an affected purine","11/177","55/11230",0.2,12.6892655367232,10.9966877186218,7.16180298945223e-10,7.72980805413292e-09,5.7320419570752e-09,"H2BC7/H2BC15/H2BC26/H2BC11/H4C5/H2BC17/H2BC6/H2BC10/H4C9/H2BC9/H2BC14",11
"R-HSA-110331","Cleavage of the damaged purine","11/177","55/11230",0.2,12.6892655367232,10.9966877186218,7.16180298945223e-10,7.72980805413292e-09,5.7320419570752e-09,"H2BC7/H2BC15/H2BC26/H2BC11/H4C5/H2BC17/H2BC6/H2BC10/H4C9/H2BC9/H2BC14",11
"R-HSA-73927","Depurination","11/177","55/11230",0.2,12.6892655367232,10.9966877186218,7.16180298945223e-10,7.72980805413292e-09,5.7320419570752e-09,"H2BC7/H2BC15/H2BC26/H2BC11/H4C5/H2BC17/H2BC6/H2BC10/H4C9/H2BC9/H2BC14",11
"R-HSA-9917777","Epigenetic regulation by WDR5-containing histone modifying complexes","17/177","164/11230",0.103658536585366,6.5767534793992,9.10385070530165,7.57707204974354e-10,8.03940186972790e-09,5.96162136295612e-09,"H3C8/H2BC7/H3C10/H2BC15/H2BC26/H2BC11/H4C5/H3C2/NCOA3/H2BC17/H3C6/H2BC6/H2BC10/H4C9/H2BC9/H2BC14/H3C1",17
"R-HSA-9918481","Dengue Virus-Host Interactions","22/177","292/11230",0.0753424657534247,4.78020277068338,8.28237044728513,1.06279743352535e-09,1.10885198897811e-08,8.22269593306453e-09,"H3C8/H2BC7/H2AC16/F2/H3C10/H2BC15/H2BC26/H2BC11/H4C5/H3C2/H2BC17/H3C6/VTN/GPC2/H2BC6/H2BC10/H4C9/H2BC9/H2AC13/H2BC14/H3C1/H2AC15",22
"R-HSA-69002","DNA Replication Pre-Initiation","16/177","149/11230",0.10738255033557,6.81302847609297,9.03905848256069,1.45530035755324e-09,1.49347217021037e-08,1.10748482774975e-08,"H3C8/H2BC7/H3C10/H2BC15/H2BC26/H2BC11/H4C5/H3C2/H2BC17/H3C6/H2BC6/H2BC10/H4C9/H2BC9/H2BC14/H3C1",16
"R-HSA-110328","Recognition and association of DNA glycosylase with site containing an affected pyrimidine","11/177","60/11230",0.183333333333333,11.6318267419962,10.4489828983844,1.91594392008443e-09,1.87403264683259e-08,1.38968958677177e-08,"H2BC7/H2BC15/H2BC26/H2BC11/H4C5/H2BC17/H2BC6/H2BC10/H4C9/H2BC9/H2BC14",11
"R-HSA-110329","Cleavage of the damaged pyrimidine","11/177","60/11230",0.183333333333333,11.6318267419962,10.4489828983844,1.91594392008443e-09,1.87403264683259e-08,1.38968958677177e-08,"H2BC7/H2BC15/H2BC26/H2BC11/H4C5/H2BC17/H2BC6/H2BC10/H4C9/H2BC9/H2BC14",11
"R-HSA-73928","Depyrimidination","11/177","60/11230",0.183333333333333,11.6318267419962,10.4489828983844,1.91594392008443e-09,1.87403264683259e-08,1.38968958677177e-08,"H2BC7/H2BC15/H2BC26/H2BC11/H4C5/H2BC17/H2BC6/H2BC10/H4C9/H2BC9/H2BC14",11
