"User Ids","Gene Name","Category","Terms"
"AURKA","aurora kinase A(AURKA)","GAD_DISEASE","Mouth Neoplasms|Precancerous Conditions"
"AURKA","aurora kinase A(AURKA)","GAD_DISEASE","Tobacco Use Disorder"
"AURKA","aurora kinase A(AURKA)","GAD_DISEASE","bladder cancer"
"AURKA","aurora kinase A(AURKA)","GAD_DISEASE","breast cancer"
"AURKA","aurora kinase A(AURKA)","GAD_DISEASE","breast cancer"
"AURKA","aurora kinase A(AURKA)","GAD_DISEASE","chronic obstructive pulmonary disease"
"AURKA","aurora kinase A(AURKA)","GAD_DISEASE","colorectal cancer"
"AURKA","aurora kinase A(AURKA)","GAD_DISEASE","esophageal adenocarcinoma"
"AURKA","aurora kinase A(AURKA)","GAD_DISEASE","esophageal cancer"
"AURKA","aurora kinase A(AURKA)","GAD_DISEASE","gastric cancer"
"AURKA","aurora kinase A(AURKA)","GAD_DISEASE","gastric carcinoma"
"AURKA","aurora kinase A(AURKA)","GAD_DISEASE","kidney cancer"
"AURKA","aurora kinase A(AURKA)","GAD_DISEASE","lung cancer"
"AURKA","aurora kinase A(AURKA)","GAD_DISEASE","lung cancer"
"AURKA","aurora kinase A(AURKA)","GAD_DISEASE","ovarian cancer"
"AURKA","aurora kinase A(AURKA)","GAD_DISEASE","ovarian cancer"
"AURKA","aurora kinase A(AURKA)","GAD_DISEASE","overall effect"
"AURKA","aurora kinase A(AURKA)","GAD_DISEASE","pancreatic cancer"
"AURKA","aurora kinase A(AURKA)","GAD_DISEASE","prostate cancer"
"AURKA","aurora kinase A(AURKA)","GAD_DISEASE","uterine cancer"
"BIRC5","baculoviral IAP repeat containing 5(BIRC5)","GAD_DISEASE","Adenocarcinoma|Carcinoma, Adenosquamous|Carcinoma, Squamous Cell|Esophageal Neoplasms|Lymphatic Metastasis"
"BIRC5","baculoviral IAP repeat containing 5(BIRC5)","GAD_DISEASE","Carcinoma, Transitional Cell|Urologic Neoplasms"
