"Category","Term","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids"
"GOTERM_BP_DIRECT","cellular response to growth factor stimulus","3","53","78","18975","1.94e-2","2.11e-1","13.77","1.00e+0","2.00e-1","1.35e-3","ERBB2,AKT1,EGFR"
"GOTERM_BP_DIRECT","regulation of DNA-templated transcription","10","53","1502","18975","1.98e-2","2.13e-1","2.38","1.00e+0","2.02e-1","7.91e-3","FOXA1,RB1,MYC,E2F1,PGR,GATA3,BRCA2,ESR1,TP53,EZH2"
"GOTERM_BP_DIRECT","positive regulation of proteasomal ubiquitin-dependent protein catabolic process","3","53","80","18975","2.03e-2","2.17e-1","13.43","1.00e+0","2.06e-1","1.45e-3","PLK1,AKT1,AURKA"
"GOTERM_BP_DIRECT","positive regulation of mitotic cell cycle phase transition","2","53","8","18975","2.17e-2","2.23e-1","89.50","1.00e+0","2.11e-1","2.12e-4","RRM2,CCND1"
"GOTERM_BP_DIRECT","regulation of type B pancreatic cell proliferation","2","53","8","18975","2.17e-2","2.23e-1","89.50","1.00e+0","2.11e-1","2.12e-4","CDK4,BIRC5"
"GOTERM_BP_DIRECT","ERBB2-EGFR signaling pathway","2","53","8","18975","2.17e-2","2.23e-1","89.50","1.00e+0","2.11e-1","2.12e-4","ERBB2,EGFR"
"GOTERM_BP_DIRECT","protein localization to chromosome, centromeric region","2","53","8","18975","2.17e-2","2.23e-1","89.50","1.00e+0","2.11e-1","2.12e-4","RB1,CENPA"
"GOTERM_BP_DIRECT","nuclear division","2","53","9","18975","2.44e-2","2.46e-1","79.56","1.00e+0","2.33e-1","2.72e-4","PLK1,TTK"
"GOTERM_BP_DIRECT","negative regulation of stress-activated MAPK cascade","2","53","9","18975","2.44e-2","2.46e-1","79.56","1.00e+0","2.33e-1","2.72e-4","MYC,PBK"
"GOTERM_BP_DIRECT","positive regulation of cell growth","3","53","89","18975","2.48e-2","2.48e-1","12.07","1.00e+0","2.35e-1","1.97e-3","ERBB2,AKT1,EGFR"
"GOTERM_BP_DIRECT","hemopoiesis","3","53","91","18975","2.58e-2","2.56e-1","11.80","1.00e+0","2.42e-1","2.10e-3","MELK,BRCA2,EZH2"
"GOTERM_BP_DIRECT","mitotic cell cycle phase transition","2","53","10","18975","2.71e-2","2.66e-1","71.60","1.00e+0","2.52e-1","3.40e-4","CCNB2,CCNB1"
"GOTERM_BP_DIRECT","mitotic nuclear membrane disassembly","2","53","11","18975","2.97e-2","2.77e-1","65.09","1.00e+0","2.62e-1","4.14e-4","PLK1,CHEK1"
"GOTERM_BP_DIRECT","chordate embryonic development","2","53","11","18975","2.97e-2","2.77e-1","65.09","1.00e+0","2.62e-1","4.14e-4","BRCA1,BRCA2"
"GOTERM_BP_DIRECT","positive regulation of mitotic cell cycle spindle assembly checkpoint","2","53","11","18975","2.97e-2","2.77e-1","65.09","1.00e+0","2.62e-1","4.14e-4","BIRC5,MAD2L1"
"GOTERM_BP_DIRECT","cellular response to interferon-alpha","2","53","11","18975","2.97e-2","2.77e-1","65.09","1.00e+0","2.62e-1","4.14e-4","MYC,GATA3"
"GOTERM_BP_DIRECT","positive regulation of transcription regulatory region DNA binding","2","53","11","18975","2.97e-2","2.77e-1","65.09","1.00e+0","2.62e-1","4.14e-4","RB1,GATA3"
